# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "gene" "-g" "gene_id" "-a" "reference/GCF_000484505.2_ASM48450v2_genomic.gtf" "-o" "counts/gene_counts.txt" "bam_files/SRR23426208.bam" "bam_files/SRR23426209.bam" "bam_files/SRR23426210.bam" "bam_files/SRR23426211.bam" "bam_files/SRR23426212.bam" "bam_files/SRR23426213.bam" "bam_files/SRR23426214.bam" "bam_files/SRR23426215.bam" "bam_files/SRR23426216.bam" "bam_files/SRR23426217.bam" "bam_files/SRR23426218.bam" "bam_files/SRR23426219.bam" "bam_files/SRR23426220.bam" "bam_files/SRR23426221.bam" "bam_files/SRR23426222.bam" 
Geneid	Chr	Start	End	Strand	Length	bam_files/SRR23426208.bam	bam_files/SRR23426209.bam	bam_files/SRR23426210.bam	bam_files/SRR23426211.bam	bam_files/SRR23426212.bam	bam_files/SRR23426213.bam	bam_files/SRR23426214.bam	bam_files/SRR23426215.bam	bam_files/SRR23426216.bam	bam_files/SRR23426217.bam	bam_files/SRR23426218.bam	bam_files/SRR23426219.bam	bam_files/SRR23426220.bam	bam_files/SRR23426221.bam	bam_files/SRR23426222.bam
CAETHG_RS05385	NC_022592.1	1176842	1177030	-	189	13	8	22	6	7	8	4	9	11	19	7	12	9	8	15
CAETHG_RS05390	NC_022592.1	1177726	1178334	-	609	57	64	74	42	60	78	61	67	113	66	91	62	46	45	75
CAETHG_RS05395	NC_022592.1	1178613	1180181	-	1569	844	754	936	716	748	952	799	646	990	833	1105	989	663	590	907
CAETHG_RS05400	NC_022592.1	1180325	1180552	-	228	54	49	63	51	41	81	56	59	75	56	76	93	48	29	65
CAETHG_RS05405	NC_022592.1	1180725	1181186	-	462	420	438	541	417	399	513	377	324	481	554	817	500	332	369	390
CAETHG_RS05410	NC_022592.1	1181363	1181890	+	528	45	74	60	39	117	87	41	48	51	317	535	322	108	58	27
CAETHG_RS05415	NC_022592.1	1182555	1182776	+	222	628	479	434	333	305	381	305	311	459	564	632	464	348	444	477
CAETHG_RS05420	NC_022592.1	1182880	1183062	-	183	388	351	298	231	232	250	206	205	359	340	310	268	221	365	387
CAETHG_RS05425	NC_022592.1	1183312	1183911	-	600	326	324	293	220	175	251	233	180	227	225	350	166	222	286	290
CAETHG_RS05430	NC_022592.1	1183933	1184436	-	504	436	375	386	262	203	305	253	262	221	388	580	205	239	420	376
CAETHG_RS05435	NC_022592.1	1184427	1184837	-	411	1384	1146	1419	674	553	938	751	746	527	772	1638	409	873	1197	1323
CAETHG_RS05440	NC_022592.1	1185112	1185474	-	363	136	129	140	144	114	160	118	92	138	136	221	144	88	133	110
CAETHG_RS05445	NC_022592.1	1185549	1186040	-	492	169	220	281	193	186	216	186	119	206	234	302	186	172	209	172
CAETHG_RS05450	NC_022592.1	1186321	1186470	-	150	13	15	56	28	27	25	32	24	40	19	39	10	9	13	19
CAETHG_RS05455	NC_022592.1	1186843	1188263	-	1421	28	43	25	25	24	14	17	28	23	13	19	21	14	33	17
CAETHG_RS05460	NC_022592.1	1188703	1189464	+	762	235	193	227	122	202	251	180	117	303	116	133	132	70	70	64
CAETHG_RS05465	NC_022592.1	1190078	1190260	-	183	18	17	53	14	16	14	11	18	12	59	96	35	9	9	26
CAETHG_RS05470	NC_022592.1	1190505	1190690	+	186	4834	3670	8759	6462	5059	6972	5887	8690	4696	6428	15370	3504	3962	7020	6177
CAETHG_RS05475	NC_022592.1	1191066	1191731	-	666	962	928	814	521	598	678	551	418	723	898	1090	786	486	584	634
CAETHG_RS05480	NC_022592.1	1191911	1192099	-	189	279	286	255	203	178	200	215	138	285	174	204	288	190	185	185
CAETHG_RS05485	NC_022592.1	1192237	1192599	-	363	275	287	301	196	175	176	172	144	226	242	421	253	199	191	206
CAETHG_RS05490	NC_022592.1	1193072	1193359	+	288	2	0	6	0	0	1	0	0	2	2	15	6	2	1	0
CAETHG_RS05495	NC_022592.1	1193446	1193520	-	75	2	0	0	5	1	1	2	0	0	5	5	3	0	0	1
CAETHG_RS05500	NC_022592.1	1193789	1194454	+	666	297	223	278	106	115	138	199	139	192	151	242	271	112	90	240
CAETHG_RS05505	NC_022592.1	1194474	1195268	+	795	121	93	262	151	59	140	180	148	108	61	111	112	74	67	130
CAETHG_RS05510	NC_022592.1	1195681	1196196	-	516	2437	1445	7169	5900	3035	4272	3829	5636	2718	3687	5798	3146	3337	4605	4209
CAETHG_RS05515	NC_022592.1	1196334	1197191	-	858	345	266	2258	1721	683	1098	1260	1482	756	900	1037	1064	1020	1061	1279
CAETHG_RS05520	NC_022592.1	1197204	1197980	-	777	594	435	2902	2362	801	1648	1953	2122	1274	1066	1035	1499	1434	1461	1924
CAETHG_RS05525	NC_022592.1	1197993	1198817	-	825	700	468	3169	2723	891	1944	2370	2260	1550	1022	986	1575	1799	1321	2384
CAETHG_RS05530	NC_022592.1	1198852	1199574	-	723	770	464	2599	2073	874	1590	1857	2071	1307	935	865	1267	1424	1409	2034
CAETHG_RS05535	NC_022592.1	1199605	1200621	-	1017	4118	2459	7860	6541	3448	6590	5982	5810	4580	3056	4108	3552	5351	6298	7757
CAETHG_RS05540	NC_022592.1	1200602	1201378	-	777	844	642	4076	3313	1193	2356	3021	3121	1998	1429	1490	2219	2260	1924	2931
CAETHG_RS05545	NC_022592.1	1201391	1202056	-	666	849	613	3392	2903	1081	2125	2588	2899	1732	1451	1657	1808	2079	1737	2570
CAETHG_RS05550	NC_022592.1	1202236	1202802	-	567	636	430	2752	2324	881	1645	2103	2431	1376	1029	1116	1362	1657	1599	2208
CAETHG_RS05555	NC_022592.1	1202820	1203437	-	618	599	345	2274	2034	807	1602	1899	1980	1192	784	721	1326	1323	1103	1992
CAETHG_RS05560	NC_022592.1	1203460	1204542	-	1083	1486	867	6130	5205	1987	3719	4605	5356	3139	2204	1921	3254	3568	2931	4653
CAETHG_RS05565	NC_022592.1	1204568	1205188	-	621	908	564	3841	3036	1126	2083	2542	3203	1709	1290	1208	1815	2194	1780	2959
CAETHG_RS05570	NC_022592.1	1205227	1206303	-	1077	2535	1301	9663	7771	2880	5500	6946	7759	4368	2936	3107	4455	5149	4718	7429
CAETHG_RS05575	NC_022592.1	1206410	1207744	-	1335	3055	1644	12120	9737	3531	6578	9103	9514	5801	3338	3501	5505	6394	5529	9184
CAETHG_RS05580	NC_022592.1	1207768	1208742	-	975	1880	1019	6163	5397	1918	3502	4867	5403	3077	1733	2000	2981	3469	3494	5369
CAETHG_RS05585	NC_022592.1	1208748	1210208	-	1461	2325	1435	8288	6873	2623	4687	6319	6212	4192	2598	2768	4174	4692	4217	6711
CAETHG_RS05590	NC_022592.1	1210219	1211091	-	873	1315	761	5284	4160	1691	2796	4088	3746	2676	1546	1573	2547	2900	2608	4034
CAETHG_RS05595	NC_022592.1	1211088	1211750	-	663	599	426	3005	2120	899	1405	1970	2024	1193	918	1251	1277	1522	1336	2290
CAETHG_RS05600	NC_022592.1	1211772	1213010	-	1239	3407	1834	9736	7585	3022	5810	6322	7645	4111	3491	5244	4097	5664	6500	9156
CAETHG_RS05605	NC_022592.1	1213043	1213996	-	954	2046	1363	5428	4187	1915	3447	4016	3873	3113	1893	1916	3097	3559	2567	4975
CAETHG_RS05610	NC_022592.1	1214047	1215564	-	1518	5532	3729	12006	9046	4698	7920	8435	8410	7923	4153	3997	6778	6978	6414	10731
CAETHG_RS05615	NC_022592.1	1216025	1216750	-	726	670	526	1516	888	612	724	698	762	732	1003	1229	998	805	1042	1049
CAETHG_RS05620	NC_022592.1	1216747	1217553	-	807	417	271	1036	527	467	492	390	385	537	549	739	448	434	612	655
CAETHG_RS05625	NC_022592.1	1217654	1218202	-	549	499	490	706	455	519	541	537	438	776	371	462	405	431	539	713
CAETHG_RS05630	NC_022592.1	1218202	1219650	-	1449	1370	1290	1670	1156	1050	1354	1427	1114	1439	779	1174	850	1101	1341	1662
CAETHG_RS05635	NC_022592.1	1219855	1222017	+	2163	728	564	470	288	291	363	408	331	310	422	502	532	347	279	542
CAETHG_RS05640	NC_022592.1	1222033	1224228	+	2196	782	628	598	367	451	600	423	376	415	790	1061	877	407	454	616
CAETHG_RS05645	NC_022592.1	1224394	1225425	-	1032	593	869	541	429	855	822	311	446	433	3916	5558	2686	980	1358	818
CAETHG_RS05650	NC_022592.1	1225949	1226770	-	822	7040	4996	3558	2241	3294	7912	2510	1510	3093	1759	2261	1629	3977	11876	9346
CAETHG_RS05655	NC_022592.1	1227263	1228153	+	891	528	477	683	777	701	847	573	597	460	4466	8165	6533	589	595	531
CAETHG_RS05660	NC_022592.1	1228319	1229485	+	1167	739	693	767	804	743	971	610	557	621	1991	2933	2989	527	469	502
CAETHG_RS05665	NC_022592.1	1230005	1231066	-	1062	640	556	602	435	574	712	541	455	860	480	623	656	376	331	527
CAETHG_RS05670	NC_022592.1	1231090	1231362	-	273	69	77	94	64	80	68	66	60	90	60	75	78	41	61	58
CAETHG_RS05675	NC_022592.1	1231467	1233944	-	2478	954	691	1540	862	862	999	999	852	1279	516	930	707	536	612	873
CAETHG_RS05680	NC_022592.1	1234095	1234601	+	507	119	124	148	74	195	95	80	79	153	439	655	431	111	69	124
CAETHG_RS05685	NC_022592.1	1234678	1235397	+	720	738	600	1117	576	584	736	606	489	867	654	1074	660	358	481	593
CAETHG_RS05690	NC_022592.1	1236006	1236578	-	573	4289	3546	3860	2473	2311	3650	2683	1965	3384	1708	2729	1737	2177	2908	3702
CAETHG_RS05695	NC_022592.1	1236749	1237729	+	981	3677	3164	3146	2718	2428	4114	3307	2448	3543	1515	2194	2089	2525	2600	3454
CAETHG_RS05700	NC_022592.1	1237850	1238077	-	228	55	149	69	92	194	122	47	126	68	1066	2444	480	150	309	48
CAETHG_RS05705	NC_022592.1	1238470	1239225	+	756	655	581	710	230	327	340	343	231	585	195	218	169	64	61	87
CAETHG_RS05710	NC_022592.1	1239281	1239892	-	612	257	395	312	208	414	279	149	209	259	3150	4697	2790	365	504	85
CAETHG_RS05715	NC_022592.1	1240086	1241306	+	1221	1425	1360	1546	867	1205	1174	930	788	1739	984	1023	1400	804	672	1061
CAETHG_RS05720	NC_022592.1	1241352	1241912	-	561	364	294	355	202	186	262	208	160	272	213	400	325	140	146	249
CAETHG_RS05725	NC_022592.1	1242295	1242651	+	357	192	188	271	133	199	173	111	166	279	187	232	232	104	137	173
CAETHG_RS05730	NC_022592.1	1242740	1243156	+	417	348	403	532	280	332	411	294	277	457	292	398	363	223	308	279
CAETHG_RS20710	NC_022592.1	1243639	1243879	+	241	180	188	298	154	184	225	182	116	272	144	228	204	111	121	196
CAETHG_RS05740	NC_022592.1	1244013	1244309	+	297	366	302	442	205	295	382	199	200	350	179	293	122	209	314	308
CAETHG_RS20715	NC_022592.1	1244430	1244696	+	267	513	579	732	381	491	529	454	268	706	267	382	348	329	397	466
CAETHG_RS20530	NC_022592.1	1245462	1245593	-	132	154	105	208	73	73	106	55	99	86	43	84	36	57	98	118
CAETHG_RS05750	NC_022592.1	1245562	1245858	-	297	937	672	1084	480	467	825	395	625	781	270	394	220	264	589	577
CAETHG_RS20535	NC_022592.1	1246117	1246248	+	132	2	3	8	4	4	12	4	5	1	7	4	12	3	1	2
CAETHG_RS05755	NC_022592.1	1246729	1247031	+	303	3	0	2	3	4	5	4	5	0	7	18	16	3	2	2
CAETHG_RS05760	NC_022592.1	1247154	1247478	+	325	36	37	48	28	22	41	28	34	26	34	39	34	25	28	62
CAETHG_RS05765	NC_022592.1	1247550	1247990	+	441	56	87	69	60	35	57	57	35	59	53	68	37	36	68	67
CAETHG_RS05770	NC_022592.1	1248075	1248503	+	429	60	78	66	51	32	52	61	54	48	74	175	54	68	76	64
CAETHG_RS05775	NC_022592.1	1248544	1249314	+	771	107	129	91	76	85	121	82	65	98	83	117	94	104	118	121
CAETHG_RS05780	NC_022592.1	1249450	1249602	+	153	80	75	78	67	67	70	62	69	57	72	136	89	57	55	62
CAETHG_RS05785	NC_022592.1	1249806	1250138	+	333	136	165	121	77	91	112	93	65	109	147	175	141	103	122	126
CAETHG_RS05790	NC_022592.1	1250355	1250519	+	165	320	203	265	175	134	294	162	272	164	157	300	112	226	317	303
CAETHG_RS05795	NC_022592.1	1250603	1250827	+	225	301	441	455	175	420	566	283	125	320	341	648	199	365	1563	736
CAETHG_RS05800	NC_022592.1	1250862	1251029	+	168	41	66	57	24	65	60	34	31	38	84	114	19	77	311	110
CAETHG_RS05805	NC_022592.1	1251135	1251434	-	300	5	3	4	4	5	2	0	5	6	9	8	7	3	4	6
CAETHG_RS05810	NC_022592.1	1252134	1253033	+	900	1173	1181	1063	779	794	885	765	646	1246	679	581	605	719	992	1109
CAETHG_RS05815	NC_022592.1	1253748	1253990	-	243	2	3	16	13	14	10	20	13	14	9	16	12	7	8	5
CAETHG_RS05820	NC_022592.1	1253994	1254752	-	759	16	22	61	33	21	29	19	36	15	48	106	46	22	17	19
CAETHG_RS05825	NC_022592.1	1255006	1255092	-	87	753	628	1496	1072	475	710	733	1482	582	2022	6364	1236	524	1120	782
CAETHG_RS05830	NC_022592.1	1255196	1256227	-	1032	529	551	845	532	799	772	605	529	881	782	893	934	405	338	454
CAETHG_RS05835	NC_022592.1	1256327	1256968	-	642	404	439	699	406	475	600	533	366	797	437	404	606	278	270	368
CAETHG_RS05840	NC_022592.1	1257111	1257476	-	366	358	329	622	463	465	566	477	397	710	417	503	456	304	238	359
CAETHG_RS05845	NC_022592.1	1257582	1258523	-	942	564	698	1089	697	814	1007	819	776	1199	639	684	939	423	411	616
CAETHG_RS05850	NC_022592.1	1258530	1259972	-	1443	445	566	835	519	581	740	658	536	908	535	644	757	403	323	479
CAETHG_RS05855	NC_022592.1	1260366	1260746	-	381	198	183	397	239	277	339	280	200	331	337	471	394	183	153	186
CAETHG_RS05860	NC_022592.1	1260733	1260948	-	216	177	166	487	314	408	535	369	327	446	418	672	477	155	176	183
CAETHG_RS05865	NC_022592.1	1261337	1261762	-	426	962	1105	1537	1036	1718	1584	961	1271	1386	3044	3902	3021	988	1166	1187
CAETHG_RS05870	NC_022592.1	1261939	1263087	-	1149	92	120	91	58	77	86	57	54	95	97	124	88	72	65	81
CAETHG_RS05875	NC_022592.1	1263343	1264914	-	1572	203	252	243	270	262	324	302	150	295	908	619	612	264	297	242
CAETHG_RS05880	NC_022592.1	1264937	1265479	-	543	60	47	53	84	50	80	71	39	73	261	165	206	62	67	56
CAETHG_RS05885	NC_022592.1	1265502	1265738	-	237	10	14	11	14	18	22	14	13	14	62	30	38	10	17	11
CAETHG_RS05890	NC_022592.1	1265738	1267141	-	1404	71	88	71	99	122	133	134	65	95	495	350	327	97	88	55
CAETHG_RS05895	NC_022592.1	1267344	1268987	-	1644	797	917	761	856	604	684	1191	613	797	677	904	542	705	741	716
CAETHG_RS05900	NC_022592.1	1269554	1270936	+	1383	349	584	553	321	1021	1141	403	354	474	4655	7338	5651	808	822	402
CAETHG_RS05905	NC_022592.1	1271063	1271677	-	615	405	323	440	274	278	395	275	195	287	335	511	334	292	325	411
CAETHG_RS05910	NC_022592.1	1271732	1272691	-	960	459	506	631	388	482	458	395	326	505	379	391	430	420	418	491
CAETHG_RS05915	NC_022592.1	1272696	1273352	-	657	203	151	186	179	135	242	184	130	222	168	270	260	197	200	245
CAETHG_RS05920	NC_022592.1	1273345	1273686	-	342	92	119	124	87	91	103	91	66	104	125	163	130	92	123	83
CAETHG_RS05925	NC_022592.1	1273880	1274464	-	585	2144	1546	3069	1657	1586	2468	2061	1154	1884	935	1134	840	1838	2232	2387
CAETHG_RS05930	NC_022592.1	1274630	1274980	-	351	2137	1427	2315	1294	1215	2106	1616	783	1476	1012	1467	831	1450	1919	1899
CAETHG_RS05935	NC_022592.1	1275016	1276479	-	1464	1578	1365	1375	972	1050	1231	1156	843	1442	754	915	911	923	969	1530
CAETHG_RS05940	NC_022592.1	1276469	1277161	-	693	355	323	390	236	205	290	317	209	296	175	231	207	191	269	376
CAETHG_RS05945	NC_022592.1	1277213	1278466	-	1254	132	122	163	61	97	109	86	70	161	85	153	91	43	66	77
CAETHG_RS05950	NC_022592.1	1278644	1279378	+	735	82	119	161	87	80	130	86	67	176	124	164	190	71	65	67
CAETHG_RS05955	NC_022592.1	1279373	1280434	-	1062	123	202	201	92	195	161	126	108	167	319	415	344	130	134	142
CAETHG_RS05960	NC_022592.1	1280439	1281176	-	738	39	73	28	30	134	90	32	42	48	254	291	287	86	73	43
CAETHG_RS05965	NC_022592.1	1281194	1282216	-	1023	41	128	55	50	227	78	28	74	63	469	740	453	148	131	68
CAETHG_RS05970	NC_022592.1	1282428	1282841	-	414	1616	1011	1163	759	554	1191	1076	946	940	300	724	194	570	1158	1195
CAETHG_RS05975	NC_022592.1	1283294	1284097	+	804	213	256	197	131	147	186	144	112	245	86	81	122	105	99	201
CAETHG_RS05980	NC_022592.1	1284128	1284937	+	810	143	142	89	67	91	125	72	74	161	58	61	119	78	49	85
CAETHG_RS05985	NC_022592.1	1284928	1285539	+	612	179	204	130	52	118	136	92	83	148	41	50	96	95	90	115
CAETHG_RS05990	NC_022592.1	1285573	1286817	+	1245	454	372	303	181	290	365	272	178	433	179	161	226	221	128	313
CAETHG_RS05995	NC_022592.1	1286958	1287650	-	693	90	56	137	57	60	80	112	57	108	48	92	71	20	21	45
CAETHG_RS06000	NC_022592.1	1287647	1288006	-	360	41	30	26	31	18	21	54	34	50	22	38	24	11	13	9
CAETHG_RS06005	NC_022592.1	1288184	1289554	-	1371	104	77	158	150	191	158	152	128	215	165	238	185	55	39	75
CAETHG_RS06010	NC_022592.1	1289912	1290388	+	477	389	314	338	221	227	300	250	209	220	248	368	209	174	335	344
CAETHG_RS06015	NC_022592.1	1290748	1291695	+	948	3203	3323	1237	945	1305	1433	1522	746	2447	520	571	722	920	820	1750
CAETHG_RS06020	NC_022592.1	1291956	1292093	+	138	352	391	142	97	142	130	126	86	246	63	67	70	98	80	170
CAETHG_RS06025	NC_022592.1	1292183	1292989	+	807	4641	4854	6469	4064	4392	5493	3936	3253	5248	3457	3645	4218	3703	4137	5022
CAETHG_RS06030	NC_022592.1	1293010	1293648	+	639	1614	1706	2090	1387	1685	2087	1452	1156	1812	2583	3633	2570	1615	1658	1772
CAETHG_RS20540	NC_022592.1	1293667	1293789	-	123	21	82	28	49	99	90	19	57	20	792	1495	581	126	123	29
CAETHG_RS06035	NC_022592.1	1293983	1295695	+	1713	160	166	533	296	239	304	277	278	436	199	338	291	168	144	193
CAETHG_RS06040	NC_022592.1	1296113	1299811	-	3699	3321	4153	7998	5067	3990	4763	5753	4146	4957	4955	5258	5875	5132	4934	6028
CAETHG_RS06045	NC_022592.1	1299951	1301015	-	1065	1325	1944	3031	1752	1406	1696	1794	1559	1518	3279	5115	2635	1995	2343	2411
CAETHG_RS06050	NC_022592.1	1301389	1302879	-	1491	3629	3767	3205	2259	2634	3570	2546	1823	3921	2223	2398	2399	2478	2694	2988
CAETHG_RS06055	NC_022592.1	1303390	1304541	+	1152	1875	1924	1822	1195	1368	1696	1171	965	2030	1104	1334	1155	1190	1102	1524
CAETHG_RS06060	NC_022592.1	1304819	1305817	-	999	1497	967	8799	14420	1665	2202	3018	10705	1714	4302	4223	3765	2341	2080	2504
CAETHG_RS06065	NC_022592.1	1306099	1306950	-	852	1302	1169	3329	2799	1854	2800	2981	2232	1998	2384	2690	3254	2128	1919	2512
CAETHG_RS06070	NC_022592.1	1306923	1308005	-	1083	276	276	1463	915	1237	1221	775	963	1225	926	1486	988	419	418	517
CAETHG_RS06075	NC_022592.1	1308171	1308689	+	519	150	147	346	188	148	199	121	152	206	214	288	107	125	179	158
CAETHG_RS06080	NC_022592.1	1309140	1309343	+	204	29404	20125	47405	35076	18023	23219	27676	41481	22392	20386	42326	10466	15029	26355	27844
CAETHG_RS06085	NC_022592.1	1309473	1310345	-	873	715	553	526	446	350	455	399	400	477	290	382	302	423	394	615
CAETHG_RS06090	NC_022592.1	1310349	1311032	-	684	358	284	338	245	208	280	239	260	232	135	169	166	209	200	337
CAETHG_RS06095	NC_022592.1	1311221	1312852	+	1632	71	131	154	86	194	139	69	76	136	230	357	376	146	84	69
CAETHG_RS06100	NC_022592.1	1312978	1314285	+	1308	273	883	638	462	844	581	351	542	503	6712	8459	6544	1523	1285	440
CAETHG_RS06105	NC_022592.1	1314356	1314787	-	432	216	183	276	183	161	202	177	127	175	269	336	219	121	121	171
CAETHG_RS06110	NC_022592.1	1314810	1315682	-	873	748	808	1082	802	646	823	757	673	840	697	763	727	536	596	650
CAETHG_RS06115	NC_022592.1	1315820	1316650	+	831	572	475	555	431	457	473	406	395	489	489	620	699	419	389	497
CAETHG_RS06120	NC_022592.1	1316654	1317040	+	387	331	307	358	288	240	318	277	248	303	324	462	380	307	305	353
CAETHG_RS06125	NC_022592.1	1317355	1319511	+	2157	434	504	1080	413	799	592	397	468	831	1314	1580	1748	488	345	331
CAETHG_RS06130	NC_022592.1	1319716	1320078	-	363	915	973	2270	1063	1010	1264	985	948	1455	1983	2917	1704	964	1066	1041
CAETHG_RS06135	NC_022592.1	1320095	1320697	-	603	38	72	289	92	71	94	68	72	115	94	153	106	66	53	58
CAETHG_RS06140	NC_022592.1	1320845	1321204	+	360	124	115	1178	298	346	386	275	302	530	411	608	534	122	107	137
CAETHG_RS06145	NC_022592.1	1321356	1322168	+	813	187	202	1095	392	449	410	362	427	681	1003	1686	1020	323	286	192
CAETHG_RS06150	NC_022592.1	1322169	1323137	-	969	544	638	4058	2645	2624	2287	2192	2118	2634	3263	3795	3344	1110	1408	1253
CAETHG_RS06155	NC_022592.1	1323382	1323858	-	477	414	765	1820	1184	1835	1414	904	1034	1473	4220	6856	3394	934	1215	689
CAETHG_RS06160	NC_022592.1	1324257	1324454	+	198	61	755	75	207	684	350	70	321	71	3834	5649	4458	1320	1024	264
CAETHG_RS06165	NC_022592.1	1324505	1324759	+	255	74	765	118	191	822	267	74	324	85	3962	4998	4533	1481	1162	273
CAETHG_RS06170	NC_022592.1	1324772	1325344	+	573	269	2389	338	635	2582	1133	332	1112	358	11935	16605	14567	4188	3370	925
CAETHG_RS06175	NC_022592.1	1325613	1326587	-	975	290	456	407	317	439	340	282	265	393	1142	1261	1218	341	318	304
CAETHG_RS06180	NC_022592.1	1326893	1327345	-	453	53	44	85	50	31	63	42	25	46	54	73	72	31	36	58
CAETHG_RS06185	NC_022592.1	1327347	1328150	-	804	94	96	99	51	54	76	60	51	94	88	72	111	38	32	89
CAETHG_RS06190	NC_022592.1	1328193	1329509	-	1317	178	151	237	134	86	178	123	125	239	129	152	181	80	76	159
CAETHG_RS06195	NC_022592.1	1329789	1331792	+	2004	44	68	63	42	142	128	32	34	97	316	369	292	74	74	69
CAETHG_RS06200	NC_022592.1	1331857	1333551	-	1695	1650	1542	2877	1768	1714	2231	1831	1491	2353	1933	2565	1769	1385	1651	1877
CAETHG_RS06205	NC_022592.1	1333806	1335116	-	1311	743	846	1406	661	632	818	726	640	992	491	756	491	470	620	773
CAETHG_RS06210	NC_022592.1	1335387	1336112	+	726	775	708	1159	618	698	920	718	602	1186	478	727	529	504	520	624
CAETHG_RS06215	NC_022592.1	1336173	1337192	-	1020	3912	3679	4016	2406	2889	4089	3183	2303	3838	2112	2687	2330	2044	2318	2505
CAETHG_RS06220	NC_022592.1	1337158	1338369	-	1212	3553	3663	3937	2291	2902	3560	3114	2333	4062	1713	2078	2555	1694	1711	2179
CAETHG_RS06225	NC_022592.1	1338625	1338815	-	191	34534	29934	72413	47307	26092	31073	39554	55150	16604	52253	134590	23711	29060	49946	14037
CAETHG_RS06230	NC_022592.1	1339097	1339357	-	261	117	1119	250	506	1872	1013	152	587	303	8230	12907	6347	1756	1784	575
CAETHG_RS06235	NC_022592.1	1339378	1339584	-	207	115	1198	257	617	1909	956	147	751	305	8564	14107	6796	1755	1980	409
CAETHG_RS06240	NC_022592.1	1339801	1341366	+	1566	120	102	170	100	194	148	136	122	167	285	383	418	163	113	147
CAETHG_RS06245	NC_022592.1	1341431	1342468	+	1038	122	145	257	150	195	151	189	183	175	226	421	361	134	121	146
CAETHG_RS06250	NC_022592.1	1342644	1342728	-	85	47	56	67	65	40	69	49	72	48	81	127	59	43	68	55
CAETHG_RS06255	NC_022592.1	1342783	1343370	-	588	337	409	454	339	249	310	313	250	320	399	527	407	330	361	351
CAETHG_RS06260	NC_022592.1	1343390	1344013	-	624	692	850	965	757	585	622	646	588	673	781	861	901	623	648	739
CAETHG_RS06265	NC_022592.1	1344038	1346668	-	2631	2524	2718	3498	2765	1988	2331	2513	2099	2396	2577	2844	3511	2343	2394	2448
CAETHG_RS06270	NC_022592.1	1346994	1347644	+	651	804	597	1028	549	569	833	815	477	859	371	612	367	467	553	758
CAETHG_RS06275	NC_022592.1	1347757	1348293	-	537	345	388	1622	948	490	572	602	1107	555	1168	2657	597	444	708	442
CAETHG_RS06280	NC_022592.1	1348688	1349326	-	639	36	30	83	32	61	60	38	19	22	99	150	86	20	45	45
CAETHG_RS06285	NC_022592.1	1349520	1350188	+	669	430	335	705	452	309	478	391	322	360	592	1329	444	324	334	422
CAETHG_RS06290	NC_022592.1	1350186	1350362	-	177	17076	13276	24469	17003	12553	16705	16080	29075	11717	17700	39540	6806	11462	27044	15876
CAETHG_RS06295	NC_022592.1	1350422	1352194	-	1773	8196	7437	8408	6471	5543	6800	7418	5434	8474	4197	4129	4748	5626	4839	7414
CAETHG_RS06300	NC_022592.1	1352210	1353460	-	1251	2903	2924	3254	2539	2212	2457	2816	2254	3421	1700	1678	1969	2180	2135	2796
CAETHG_RS06305	NC_022592.1	1353539	1354969	-	1431	2360	2625	2995	2129	1836	2380	2406	1971	2802	1486	1866	1402	1858	2189	2559
CAETHG_RS06310	NC_022592.1	1355505	1356104	-	600	3276	3048	3685	2875	2500	3305	3015	2255	2935	2576	3306	2119	2533	3873	3199
CAETHG_RS06315	NC_022592.1	1356141	1356590	-	450	1430	1587	1635	1261	1213	1366	1311	983	1590	1117	1067	1105	1158	1462	1504
CAETHG_RS06320	NC_022592.1	1356605	1358782	-	2178	3653	4227	4687	3213	2883	3641	3597	2539	4153	2715	2681	3000	2960	3425	3807
CAETHG_RS06325	NC_022592.1	1358889	1359407	-	519	1761	1436	2599	1972	1255	1898	1758	1991	1605	1637	2379	1564	1237	1914	1817
CAETHG_RS06330	NC_022592.1	1359508	1360356	-	849	729	762	1266	1039	594	875	969	869	826	761	1122	747	677	981	857
CAETHG_RS06335	NC_022592.1	1360515	1361390	-	876	8934	5732	7437	3795	3883	5536	5340	3976	6048	2582	3340	2754	2911	2770	5107
CAETHG_RS06340	NC_022592.1	1361392	1362666	-	1275	7956	6239	8490	4797	5117	6787	6434	4653	6926	3958	6038	4964	3727	2918	4727
CAETHG_RS06345	NC_022592.1	1362809	1364176	-	1368	2108	2081	2661	1469	2050	1979	1582	1543	2506	1230	1378	1142	1388	1531	1956
CAETHG_RS06350	NC_022592.1	1364262	1364399	-	138	1457	913	1846	1701	923	1282	1192	2370	719	1741	4992	957	1027	1286	1183
CAETHG_RS06355	NC_022592.1	1364498	1364866	-	369	465	468	914	621	587	700	523	589	549	874	1528	874	589	540	476
CAETHG_RS06360	NC_022592.1	1364920	1365252	-	333	7957	5048	10885	6070	4327	5975	5816	6247	5339	6599	13074	4528	5270	6958	7327
CAETHG_RS06365	NC_022592.1	1365288	1366412	-	1125	1655	1300	1516	916	916	1069	1167	989	1435	696	885	891	874	759	1179
CAETHG_RS06370	NC_022592.1	1366428	1367453	-	1026	1667	1478	1584	971	1055	1209	1206	1016	1537	734	793	1117	923	711	1295
CAETHG_RS06375	NC_022592.1	1367482	1368528	-	1047	1626	1591	1793	1196	1162	1221	1271	1246	1690	844	951	1287	1053	917	1466
